name,slug,value,date_of_information,ranking,region
"Benin","benin","$3,400","2022",187,"Africa"
"Zambia","zambia","$3,400","2022",188,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","$3,400","2022",189,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,300","2022",190,"Australia and Oceania"
"Comoros","comoros","$3,200","2022",191,"Africa"
"Syria","syria","$2,900","2015",192,"Middle East"
"Vanuatu","vanuatu","$2,800","2022",193,"Australia and Oceania"
"Haiti","haiti","$2,800","2022",194,"Central America and the Caribbean"
"Guinea","guinea","$2,700","2022",195,"Africa"
"Tanzania","tanzania","$2,600","2022",196,"Africa"
"Yemen","yemen","$2,500","2017",197,"Middle East"
"Ethiopia","ethiopia","$2,400","2022",198,"Africa"
"Rwanda","rwanda","$2,400","2022",199,"Africa"
"Uganda","uganda","$2,300","2022",200,"Africa"
"Lesotho","lesotho","$2,200","2022",201,"Africa"
"Zimbabwe","zimbabwe","$2,200","2022",202,"Africa"
"Togo","togo","$2,200","2022",203,"Africa"
"Solomon Islands","solomon-islands","$2,200","2022",204,"Australia and Oceania"
"Burkina Faso","burkina-faso","$2,200","2022",205,"Africa"
"Gambia, The","gambia-the","$2,100","2022",206,"Africa"
"Mali","mali","$2,100","2022",207,"Africa"
"Kiribati","kiribati","$2,000","2022",208,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","$1,900","2022",209,"Africa"
"Korea, North","korea-north","$1,700","2015",210,"East and Southeast Asia"
"South Sudan","south-sudan","$1,600","2017",211,"Africa"
"Eritrea","eritrea","$1,600","2017",212,"Africa"
"Sierra Leone","sierra-leone","$1,600","2022",213,"Africa"
"Liberia","liberia","$1,500","2022",214,"Africa"
"Afghanistan","afghanistan","$1,500","2021",215,"South Asia"
"Malawi","malawi","$1,500","2022",216,"Africa"
"Madagascar","madagascar","$1,500","2022",217,"Africa"
"Somalia","somalia","$1,400","2022",218,"Africa"
"Chad","chad","$1,400","2022",219,"Africa"
"Mozambique","mozambique","$1,300","2022",220,"Africa"
"Niger","niger","$1,300","2022",221,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$1,100","2022",222,"Africa"
"Central African Republic","central-african-republic","$800","2022",223,"Africa"
"Burundi","burundi","$700","2022",224,"Africa"
