name,region,vsl
South Sudan,Africa,242865.97
Spain,Europe,5309920.5
Sri Lanka,South Asia,1900820.5
Sudan,Africa,637085.38
Suriname,South America,2227609.3
Sweden,Europe,8434412
Switzerland,Europe,10473267
Syria,Middle East,536487.19
Taiwan,East and Southeast Asia,6453317
Tajikistan,Central Asia,734545.56
Tanzania,Africa,490475.47
Thailand,East and Southeast Asia,2343459.5
Timor-Leste,East and Southeast Asia,710098.38
Togo,Africa,412609.44
Tonga,Australia and Oceania,1159633.9
Trinidad and Tobago,Central America and the Caribbean,3230672.3
Tunisia,Africa,1659268
Turkey (Turkiye),Middle East,5157143.5
Turkmenistan,Central Asia,2209876
Turks and Caicos Islands,Central America and the Caribbean,3398883.5
Tuvalu,Australia and Oceania,691525.88
Uganda,Africa,448988.22
Ukraine,Europe,999486.88
United Arab Emirates,Middle East,12052407
United Kingdom,Europe,7190525.5
United States,North America,9900000
Uruguay,South America,3774931.5
Uzbekistan,Central Asia,1397975.3
Vanuatu,Australia and Oceania,522074.25
Venezuela,South America,1222809.8
Vietnam,East and Southeast Asia,1788655.4
Virgin Islands,Central America and the Caribbean,5089749.5
West Bank,Middle East,1135588.1
Yemen,Middle East,421439.59
Zambia,Africa,601691.69
Zimbabwe,Africa,369261.34
